Pedagogical Technique,Pedagogical Technique Description,Pedagogical Objective,Pedagogical Objective Description
Strategy Revision Plan,Ask learners to change their next tactic based on feedback evidence performance or persistent confusion,Adapt Learning Strategy,Convert reflection and feedback into a concrete next learning action
Peer Review Protocol,Use structured peer feedback with criteria evidence requests and revision suggestions,Improve Through Peer Critique,Help learners evaluate and improve work through accountable peer review
Collaborative Annotation,Have learners jointly mark up a text model query dataset or artifact with comments questions and claims,Build Shared Understanding,Support collective sensemaking around a shared learning object
Jigsaw Activity,Assign learners complementary parts of a topic and require them to teach or integrate their part with peers,Distribute Expertise,Create interdependence while covering multiple aspects of a concept or task
Group Synthesis,Ask a group to combine individual findings into a single shared claim model or recommendation,Integrate Perspectives,Move collaborative work from discussion toward a coherent artifact
Design Critique,Review an artifact against design criteria constraints audience and evidence before revision,Improve Artifact Quality,Help learners refine artifacts through criteria-based critique
Public Product Review,Evaluate a learner artifact as something intended for a real audience stakeholder or reuse context,Prepare Authentic Output,Connect learning performance to communicable and usable outputs
Data Walkthrough,Guide learners through a dataset graph query output or evidence table to inspect structure and implications,Ground Reasoning In Evidence,Use concrete data traces to support interpretation and modeling decisions
Misconception Probe,Pose a diagnostic example or question designed to reveal a likely misunderstanding,Surface Misconception,Identify incorrect prior conceptions before instruction or correction
Conceptual Conflict Prompt,Present a counterexample or incompatible case that challenges the learner current explanation,Create Productive Conflict,Motivate reconstruction of an inaccurate concept through evidence
Relevance Framing,Connect the learning task to a role goal use case stakeholder need or decision consequence,Increase Relevance,Help learners see why the objective matters in a meaningful context
Instructor Facilitation Move,Use a timely clarification redirect summary or probing question to keep inquiry coherent,Guide Inquiry,Maintain productive learning discourse without taking over the learner work
Debate Protocol,Structure opposing claims evidence warrants and rebuttals so learners compare competing interpretations,Evaluate Competing Claims,Develop critical judgment through evidence-based disagreement
Portfolio Reflection,Ask learners to select artifacts and explain evidence of growth quality and next improvement,Document Learning Growth,Make progress visible across multiple learning products or attempts
Tool Comparison Matrix,Use explicit criteria to compare tools platforms or representations against task requirements,Support Selection Judgment,Help learners justify tool or representation choices with consistent evidence
