Evaluation Technique,Evaluation Technique Types,Evaluation Metrics,Assesses Learning Objective Situation,Assesses Learning Objectives,Assesses Learning Feedback Learner,Assesses Learning Feedback Source,Assesses Learning Feedback,Provides Response Learner,Provides Response Source,Provides Responses
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Knowledge Graph Foundations Orientation,Recall metadata vocabulary,Learner Ethan,Learning Platform,Metadata Vocabulary Recall Correction Note,Learner Ethan,Adaptive Tutor,Metadata Vocabulary Recall Hint
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Developer Knowledge Graph Implementation Practice,Explain ontology components,Learner Debbie,Instructor Reviewer,Ontology Component Explanation Revision Guidance,Learner Debbie,Adaptive Tutor,Ontology Component Explanation Review Guidance
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Data Science KG Modeling Foundations,Describe knowledge graph structure,Learner Darwin,Learning Platform,Knowledge Graph Structure Explanation Coaching Note,Learner Darwin,Adaptive Tutor,Knowledge Graph Structure Explanation Next Step
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Collaborative KG Delivery Planning,Identify identifier patterns,Learner Carla,Learning Platform,Identifier Pattern Recognition Practice Cue,Learner Carla,Adaptive Tutor,Identifier Pattern Recognition Practice Prompt
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Data Science KG Modeling Foundations,Recognize logic operators,Learner Darwin,Learning Platform,Logic Operator Recognition Review Comment,Learner Darwin,Adaptive Tutor,Logic Operator Recognition Revision Cue
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Ontology Contribution Modeling Practice,Interpret propositional statements,Learner Connie,Learning Platform,Propositional Statement Reasoning Next Step Note,Learner Connie,Adaptive Tutor,Propositional Statement Reasoning Tutor Note
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Data Analysis KG Modeling Practice,Interpret Datalog rules,Learner Courtney,Learning Platform,Datalog Rule Interpretation Evidence Prompt,Learner Courtney,Adaptive Tutor,Datalog Rule Tracepoint Advice
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Executive KG Value Review,Interpret predicate logic statements,Learner Edward,Learning Platform,Predicate Logic Statement Interpretation Extension Prompt,Learner Edward,Adaptive Tutor,Predicate Logic Statement Interpretation Extension Prompt
Ontology Modeling Review,Summative | Instructor Reviewed | Modeling Artifact,Rubric Level | Confidence Rating,Data Science KG Modeling Foundations,Analyze description logic constraints,Learner Darwin,Instructor Reviewer,Description Logic Constraint Reasoning Correction Note,Learner Darwin,Adaptive Tutor,Description Logic Constraint Reasoning Hint
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Consulting KG Opportunity Review,Explain rule based inference,Learner Chris,Learning Platform,Rule Based Inference Explanation Revision Guidance,Learner Chris,Adaptive Tutor,Rule Based Inference Explanation Review Guidance
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,KG Curriculum Design Studio,Apply set relationships,Learner Cameron,Learning Platform,Set Relationship Reasoning Coaching Note,Learner Cameron,Adaptive Tutor,Set Relationship Reasoning Next Step
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Ontology Vocabulary Modeling Review,Recognize discrete relation properties,Learner Oratius,Instructor Reviewer,Discrete Relation Property Recognition Practice Cue,Learner Oratius,Adaptive Tutor,Discrete Relation Property Recognition Practice Prompt
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Data Analysis KG Modeling Practice,Compare open and closed world assumptions,Learner Courtney,Learning Platform,Open Closed World Assumption Comparison Review Comment,Learner Courtney,Adaptive Tutor,Open Closed World Assumption Comparison Revision Cue
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Educational KG Facilitation Planning,Interpret RDF graph statements,Learner Elias,Learning Platform,RDF Graph Interpretation Next Step Note,Learner Elias,Adaptive Tutor,RDF Graph Interpretation Tutor Note
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,KG Resource Development Practice,Apply RDFS vocabulary reasoning,Learner Ronnie,Learning Platform,RDFS Vocabulary Reasoning Evidence Prompt,Learner Ronnie,Adaptive Tutor,RDFS Vocabulary Inference Reviewpoint Advice
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,User Engagement KG Demonstration Planning,Compare RDF serialization choices,Learner Usman,Learning Platform,RDF Serialization Format Comparison Extension Prompt,Learner Usman,Adaptive Tutor,RDF Serialization Format Comparison Extension Prompt
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Secure KG Implementation Training,Explain RDF star statement annotations,Learner Stella,Learning Platform,RDF Star Statement Annotation Correction Note,Learner Stella,Adaptive Tutor,RDF Star Statement Annotation Hint
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Developer Knowledge Graph Implementation Practice,Construct SPARQL query patterns,Learner Debbie,Learning Platform,SPARQL Query Pattern Construction Revision Guidance,Learner Debbie,Adaptive Tutor,SPARQL Query Pattern Construction Review Guidance
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Supply Chain KG Use Case Review,Explain SWRL rule inferences,Learner Silas,Instructor Reviewer,SWRL Rule Inference Explanation Coaching Note,Learner Silas,Adaptive Tutor,SWRL Rule Inference Explanation Next Step
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,KG Research Representation Study,Analyze OWL modeling constraints,Learner Kai,Instructor Reviewer,OWL Modeling Constraint Analysis Practice Cue,Learner Kai,Adaptive Tutor,OWL Modeling Constraint Analysis Practice Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Executive KG Outcome Framing,Compare OWL dialect tradeoffs,Learner Ella,Instructor Reviewer,OWL Dialect Selection Review Comment,Learner Ella,Adaptive Tutor,OWL Dialect Selection Revision Cue
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Data Analysis KG Modeling Practice,Translate Manchester syntax axioms,Learner Courtney,Instructor Reviewer,Manchester Syntax Translation Next Step Note,Learner Courtney,Adaptive Tutor,Manchester Syntax Translation Tutor Note
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Knowledge Graph Foundations Orientation,Validate RDF shapes with SHACL,Learner Ethan,Instructor Reviewer,SHACL Constraint Validation Evidence Prompt,Learner Ethan,Adaptive Tutor,SHACL Shape Validation Taskpoint Advice
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Ontology Contribution Modeling Practice,Align Schema.org vocabulary terms,Learner Connie,Learning Platform,Schema.org Vocabulary Alignment Extension Prompt,Learner Connie,Adaptive Tutor,Schema.org Vocabulary Alignment Extension Prompt
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Executive KG Value Review,Map Dublin Core metadata fields,Learner Edward,Learning Platform,Dublin Core Metadata Mapping Correction Note,Learner Edward,Adaptive Tutor,Dublin Core Metadata Mapping Hint
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Consulting KG Opportunity Review,Model observations with SOSA SSN,Learner Chris,Instructor Reviewer,Observation Ontology Modeling Revision Guidance,Learner Chris,Adaptive Tutor,Observation Ontology Modeling Review Guidance
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Collaborative KG Delivery Planning,Model provenance relationships with PROV-O,Learner Carla,Instructor Reviewer,Provenance Relationship Modeling Coaching Note,Learner Carla,Adaptive Tutor,Provenance Relationship Modeling Next Step
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Ontology Vocabulary Modeling Review,Model SKOS concept schemes,Learner Oratius,Instructor Reviewer,SKOS Concept Scheme Modeling Practice Cue,Learner Oratius,Adaptive Tutor,SKOS Concept Scheme Modeling Practice Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Ontology Contribution Modeling Practice,Select ontology modeling tools,Learner Connie,Instructor Reviewer,Ontology Tool Selection Review Comment,Learner Connie,Adaptive Tutor,Ontology Tool Selection Revision Cue
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Educational KG Facilitation Planning,Edit ontology models in Protege,Learner Elias,Instructor Reviewer,Protege Ontology Editing Next Step Note,Learner Elias,Adaptive Tutor,Protege Ontology Editing Tutor Note
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Ontology Contribution Modeling Practice,Plan knowledge graph deployment,Learner Connie,Instructor Reviewer,Knowledge Graph Deployment Planning Evidence Prompt,Learner Connie,Adaptive Tutor,Knowledge Graph Deployment Planning Checkpoint Advice
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,KG Curriculum Design Studio,Plan a knowledge engineering workflow,Learner Cameron,Instructor Reviewer,Knowledge Engineering Workflow Planning Extension Prompt,Learner Cameron,Adaptive Tutor,Knowledge Engineering Workflow Planning Extension Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Data Analysis KG Modeling Practice,Model statements with reification,Learner Courtney,Instructor Reviewer,Reification Pattern Modeling Correction Note,Learner Courtney,Adaptive Tutor,Reification Pattern Modeling Hint
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,KG Resource Development Practice,Map GraphQL query needs,Learner Ronnie,Instructor Reviewer,GraphQL Query Mapping Revision Guidance,Learner Ronnie,Adaptive Tutor,GraphQL Query Mapping Review Guidance
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Ontology Contribution Modeling Practice,Plan knowledge graph documentation,Learner Connie,Instructor Reviewer,Knowledge Graph Documentation Planning Coaching Note,Learner Connie,Adaptive Tutor,Knowledge Graph Documentation Planning Next Step
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,User Engagement KG Demonstration Planning,Select KG visualization tools,Learner Usman,Instructor Reviewer,Knowledge Graph Visualization Tool Selection Practice Cue,Learner Usman,Adaptive Tutor,Knowledge Graph Visualization Tool Selection Practice Prompt
Ontology Modeling Review,Summative | Instructor Reviewed | Modeling Artifact,Rubric Level | Confidence Rating,Secure KG Implementation Training,Align models with upper ontology concepts,Learner Stella,Instructor Reviewer,Upper Ontology Alignment Review Comment,Learner Stella,Adaptive Tutor,Upper Ontology Alignment Revision Cue
Ontology Modeling Review,Summative | Instructor Reviewed | Modeling Artifact,Rubric Level | Confidence Rating,Ontology Contribution Modeling Practice,Design modular ontology components,Learner Connie,Instructor Reviewer,Modular Ontology Design Next Step Note,Learner Connie,Adaptive Tutor,Modular Ontology Design Tutor Note
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Data Analysis KG Modeling Practice,Compare triplestore options,Learner Courtney,Instructor Reviewer,Triplestore Selection Evidence Prompt,Learner Courtney,Adaptive Tutor,Triplestore Selection Checkpoint Advice
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Supply Chain KG Use Case Review,Explain Semantic Web evolution,Learner Silas,Learning Platform,Semantic Web History Explanation Extension Prompt,Learner Silas,Adaptive Tutor,Semantic Web History Explanation Extension Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,KG Research Representation Study,Compare property graph representations,Learner Kai,Instructor Reviewer,Property Graph Comparison Correction Note,Learner Kai,Adaptive Tutor,Property Graph Comparison Hint
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Executive KG Outcome Framing,Model nanopublication claims,Learner Ella,Instructor Reviewer,Nanopublication Claim Modeling Revision Guidance,Learner Ella,Adaptive Tutor,Nanopublication Claim Modeling Review Guidance
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Knowledge Graph Foundations Orientation,Compare reasoning tool capabilities,Learner Ethan,Instructor Reviewer,Reasoner Capability Comparison Coaching Note,Learner Ethan,Adaptive Tutor,Reasoner Capability Comparison Next Step
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Developer Knowledge Graph Implementation Practice,Select entailment regimes,Learner Debbie,Instructor Reviewer,Entailment Regime Selection Practice Cue,Learner Debbie,Adaptive Tutor,Entailment Regime Selection Practice Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Executive KG Value Review,Explain RDF Plus property reasoning,Learner Edward,Instructor Reviewer,RDF Plus Property Reasoning Review Comment,Learner Edward,Adaptive Tutor,RDF Plus Property Reasoning Revision Cue
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Consulting KG Opportunity Review,Map Open Graph metadata,Learner Chris,Learning Platform,Open Graph Metadata Mapping Next Step Note,Learner Chris,Adaptive Tutor,Open Graph Metadata Mapping Tutor Note
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Developer Knowledge Graph Implementation Practice,Construct SPARQL query patterns,Learner Morgan,Learning Platform,SPARQL Query Pattern Readiness Feedback,Learner Morgan,Adaptive Tutor,SPARQL Query Pattern Readiness Hint
Ontology Modeling Review,Summative | Instructor Reviewed | Modeling Artifact,Rubric Level | Confidence Rating,Ontology Contribution Modeling Practice,Design modular ontology components,Learner Morgan,Instructor Reviewer,Modular Ontology Contribution Planning Feedback,Learner Morgan,Adaptive Tutor,Modular Ontology Contribution Planning Response
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Executive KG Value Review,Map Dublin Core metadata fields,Learner Morgan,Learning Platform,Executive KG Metadata Framing Feedback,Learner Morgan,Adaptive Tutor,Executive KG Metadata Framing Hint
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Foundational Semantic Web Study,Recall core metadata terminology,Learner Riley,Learning Platform,Semantic Web Foundation Baseline Feedback,Learner Riley,Adaptive Tutor,Semantic Web Foundation Baseline Hint
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Educational KG Facilitation Planning,Interpret RDF graph statements,Learner Riley,Learning Platform,KG Facilitation Planning Feedback,Learner Riley,Adaptive Tutor,RDF Facilitation Planning Prompt
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,KG Resource Development Practice,Map GraphQL query needs,Learner Riley,Instructor Reviewer,KG Resource Development Feedback,Learner Riley,Adaptive Tutor,GraphQL Resource Development Guidance
