Learning Objective,Learning Objective Description,Works On Learning Situation,Develops Skills,Aligned Pedagogical Framework,Aligned Pedagogical Element,Targeted By Pedagogical Techniques
Interpret RDF graph statements,"RDF Graph Interpretation in RDF: Explain the representation choice, then test it against a second example.",Educational KG Facilitation Planning,RDF Graph Interpretation,Cognitive Apprenticeship,Articulation,Self Explanation | Socratic Questioning
Apply RDFS vocabulary reasoning,RDFS Vocabulary Reasoning in RDFS: Annotate a partial artifact and justify the missing KG decision.,KG Resource Development Practice,RDFS Vocabulary Reasoning,Scaffolded Inquiry,Guided Investigation,Guided Practice | Data Walkthrough
Compare RDF serialization choices,RDF Serialization Format Comparison in RDF Serializations: Compare two alternatives and select the one that best supports the task.,User Engagement KG Demonstration Planning,RDF Serialization Format Comparison,Community of Inquiry,Cognitive Presence,Debate Protocol | Collaborative Annotation
Explain RDF star statement annotations,RDF Star Statement Annotation in RDF Star: Trace the reasoning path from source concept to modeled statement.,Secure KG Implementation Training,RDF Star Statement Annotation,Bloom's Taxonomy,Understand,Concept Mapping | Dual Coding
Construct SPARQL query patterns,SPARQL Query Pattern Construction in SPARQL: Revise a flawed example until the terminology and relation choices line up.,Developer Knowledge Graph Implementation Practice,SPARQL Query Pattern Construction,Cognitive Apprenticeship,Exploration,Transfer Task | Prototype Design
Explain SWRL rule inferences,"SWRL Rule Inference Explanation in SWRL: Classify the evidence, then state the implication for a KG workflow.",Supply Chain KG Use Case Review,SWRL Rule Inference Explanation,Experiential Learning Cycle,Abstract Conceptualization,Analogical Comparison | Concept Mapping
Analyze OWL modeling constraints,OWL Modeling Constraint Analysis in OWL: Build a concise explanation that another learner could reuse.,KG Research Representation Study,OWL Modeling Constraint Analysis,Conceptual Change,Cognitive Conflict,Conceptual Conflict Prompt | Socratic Questioning
Compare OWL dialect tradeoffs,"OWL Dialect Selection in OWL Dialects: Connect the concept to a tool, schema, or query decision.",Executive KG Outcome Framing,OWL Dialect Selection,Community of Inquiry,Cognitive Presence,Debate Protocol | Collaborative Annotation
Translate Manchester syntax axioms,Manchester Syntax Translation in Manchester Syntax: Separate vocabulary recall from modeling judgment in the final answer.,Data Analysis KG Modeling Practice,Manchester Syntax Translation,Cognitive Apprenticeship,Articulation,Self Explanation | Socratic Questioning
Validate RDF shapes with SHACL,SHACL Constraint Validation in SHACL: Use the module artifact to defend one explicit design choice.,Knowledge Graph Foundations Orientation,SHACL Constraint Validation,Cognitive Apprenticeship,Coaching,Guided Practice | Error Analysis
Align Schema.org vocabulary terms,Schema.org Vocabulary Alignment in Schema.org: Translate the concept into a concrete check a reviewer could apply.,Ontology Contribution Modeling Practice,Schema.org Vocabulary Alignment,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
Map Dublin Core metadata fields,Dublin Core Metadata Mapping in Dublin Core: Sort examples and define the boundary conditions for Metadata.,Executive KG Value Review,Dublin Core Metadata Mapping,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
Model observations with SOSA SSN,"Observation Ontology Modeling in SOSA & SSN: Explain the representation choice, then test it against a second example.",Consulting KG Opportunity Review,Observation Ontology Modeling,Experiential Learning Cycle,Concrete Experience,Case Based Scenario | Simulation Exercise
Model provenance relationships with PROV-O,Provenance Relationship Modeling in PROV-O: Annotate a partial artifact and justify the missing KG decision.,Collaborative KG Delivery Planning,Provenance Relationship Modeling,Collaborative Learning,Joint Construction,Collaborative Annotation | Group Synthesis
Model SKOS concept schemes,SKOS Concept Scheme Modeling in SKOS: Compare two alternatives and select the one that best supports the task.,Ontology Vocabulary Modeling Review,SKOS Concept Scheme Modeling,Collaborative Learning,Joint Construction,Collaborative Annotation | Group Synthesis
Select ontology modeling tools,Ontology Tool Selection in Survey of Modeling Tools: Trace the reasoning path from source concept to modeled statement.,Ontology Contribution Modeling Practice,Ontology Tool Selection,Project Based Learning,Critique and Revision,Design Critique | Peer Review Protocol | Tool Comparison Matrix
Edit ontology models in Protege,Protege Ontology Editing in Protege: Revise a flawed example until the terminology and relation choices line up.,Educational KG Facilitation Planning,Protege Ontology Editing,Gradual Release of Responsibility,We Do,Faded Worked Example | Guided Practice
Plan knowledge graph deployment,"Knowledge Graph Deployment Planning in Deploying a Knowledge Graph: Classify the evidence, then state the implication for a KG workflow.",Ontology Contribution Modeling Practice,Knowledge Graph Deployment Planning,Problem Based Learning,Solution Development,Prototype Design | Design Critique
Plan a knowledge engineering workflow,Knowledge Engineering Workflow Planning in Introduction to Knowledge Engineering: Build a concise explanation that another learner could reuse.,KG Curriculum Design Studio,Knowledge Engineering Workflow Planning,Self-Regulated Learning,Strategic Planning,Learning Contract | Strategy Revision Plan
Model statements with reification,"Reification Pattern Modeling in Reification: Connect the concept to a tool, schema, or query decision.",Data Analysis KG Modeling Practice,Reification Pattern Modeling,Project Based Learning,Public Product,Public Product Review | Prototype Design
Map GraphQL query needs,GraphQL Query Mapping in GraphQL: Separate vocabulary recall from modeling judgment in the final answer.,KG Resource Development Practice,GraphQL Query Mapping,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
Plan knowledge graph documentation,Knowledge Graph Documentation Planning in Survey of Documentation Practices: Use the module artifact to defend one explicit design choice.,Ontology Contribution Modeling Practice,Knowledge Graph Documentation Planning,Self-Regulated Learning,Strategic Planning,Learning Contract | Strategy Revision Plan
Select KG visualization tools,Knowledge Graph Visualization Tool Selection in Survey of Visualization Tools: Translate the concept into a concrete check a reviewer could apply.,User Engagement KG Demonstration Planning,Knowledge Graph Visualization Tool Selection,Project Based Learning,Critique and Revision,Design Critique | Peer Review Protocol | Tool Comparison Matrix
Align models with upper ontology concepts,Upper Ontology Alignment in Introduction to Upper Ontologies: Sort examples and define the boundary conditions for Ontology.,Secure KG Implementation Training,Upper Ontology Alignment,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
Design modular ontology components,"Modular Ontology Design in Introduction to Modular Ontologies: Explain the representation choice, then test it against a second example.",Ontology Contribution Modeling Practice,Modular Ontology Design,Project Based Learning,Public Product,Public Product Review | Prototype Design
Compare triplestore options,Triplestore Selection in Survey of Triplestores: Annotate a partial artifact and justify the missing KG decision.,Data Analysis KG Modeling Practice,Triplestore Selection,Project Based Learning,Critique and Revision,Design Critique | Peer Review Protocol | Tool Comparison Matrix
Explain Semantic Web evolution,Semantic Web History Explanation in History of the Semantic Web: Compare two alternatives and select the one that best supports the task.,Supply Chain KG Use Case Review,Semantic Web History Explanation,Community of Inquiry,Teaching Presence,Instructor Facilitation Move | Advance Organizer
Compare property graph representations,Property Graph Comparison in Property Graphs: Trace the reasoning path from source concept to modeled statement.,KG Research Representation Study,Property Graph Comparison,Community of Inquiry,Cognitive Presence,Debate Protocol | Collaborative Annotation
Model nanopublication claims,Nanopublication Claim Modeling in Nanopublications: Revise a flawed example until the terminology and relation choices line up.,Executive KG Outcome Framing,Nanopublication Claim Modeling,Project Based Learning,Public Product,Public Product Review | Prototype Design
Compare reasoning tool capabilities,"Reasoner Capability Comparison in Survey of Reasoners: Classify the evidence, then state the implication for a KG workflow.",Knowledge Graph Foundations Orientation,Reasoner Capability Comparison,Project Based Learning,Critique and Revision,Design Critique | Peer Review Protocol | Tool Comparison Matrix
Select entailment regimes,Entailment Regime Selection in Entailment Regimes: Build a concise explanation that another learner could reuse.,Developer Knowledge Graph Implementation Practice,Entailment Regime Selection,Bloom's Taxonomy,Evaluate,Analogical Comparison | Rubric Based Review
Explain RDF Plus property reasoning,"RDF Plus Property Reasoning in RDF Plus: Connect the concept to a tool, schema, or query decision.",Executive KG Value Review,RDF Plus Property Reasoning,Experiential Learning Cycle,Abstract Conceptualization,Analogical Comparison | Concept Mapping
Map Open Graph metadata,Open Graph Metadata Mapping in Open Graph Protocol: Separate vocabulary recall from modeling judgment in the final answer.,Consulting KG Opportunity Review,Open Graph Metadata Mapping,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
