Response,Response Type,Learner,Response Content,Source,Response Time Type,Point In Time Value,Point In Time Reference System,Interval Start Value,Interval Start Reference System,Interval End Value,Response Time Key,Interval End Reference System,Affects Awareness Observation,Affects Awareness Observation Topic,Affects Awareness Observation Skill
Strategic Feedback on Schema Reasoning,LearningFeedback,Learner Casey,Use domain and range as inference cues rather than only documentation,Instructor Reviewer,PointInTime,2026-01-18T15:20:00Z,ISO 8601 UTC,,,,2026-01-18T15:20:00Z,,RDFS Schema Awareness After Review,Schema,RDFS Schema Reasoning
Corrective Feedback on SPARQL Pattern,LearningFeedback,Learner Blair,The query selected the right variable but the WHERE pattern omitted the predicate,Learning Platform,PointInTime,2026-01-19T13:22:00Z,ISO 8601 UTC,,,,2026-01-19T13:22:00Z,,SPARQL Awareness After Practice,Query,SPARQL Query Construction
Strategic Feedback on OWL Modeling,LearningFeedback,Learner Casey,Revise the model by separating datatype values from object relationships and then add the cardinality constraint,Instructor Reviewer,PointInTime,2026-01-20T16:40:00Z,ISO 8601 UTC,,,,2026-01-20T16:40:00Z,,OWL Modeling Awareness After Review,OWL,OWL Axiom Analysis
Mastery Feedback on RDF RDFS Basics,LearningFeedback,Learner Casey,You met the mastery threshold and can move to OWL modeling extensions,Learning Platform,PointInTime,2026-01-21T10:35:00Z,ISO 8601 UTC,,,,2026-01-21T10:35:00Z,,RDF RDFS Mastery Awareness,Schema,RDF RDFS Mastery Demonstration
Metadata Concept Check Score,EvaluationResult,Learner Alex,Metadata Concept Check scored result: 82 Score Percent for Semantic Web Vocabulary Recall with correct examples and one missed boundary case.,Learning Platform,PointInTime,2026-01-15T09:45:00Z,ISO 8601 UTC,,,,2026-01-15T09:45:00Z,,Metadata Awareness After Check,Metadata,Semantic Web Vocabulary Recall
RDF Triple Quiz Score,EvaluationResult,Learner Blair,Score percent 76 for RDF triple interpretation,Learning Platform,PointInTime,2026-01-17T11:16:00Z,ISO 8601 UTC,,,,2026-01-17T11:16:00Z,,RDF Triple Awareness After Quiz,Triple,RDF Triple Interpretation
RDFS Schema Rubric Result,EvaluationResult,Learner Casey,Rubric level 3 for RDFS schema reasoning,Instructor Reviewer,PointInTime,2026-01-18T15:20:00Z,ISO 8601 UTC,,,,2026-01-18T15:20:00Z,,RDFS Schema Awareness After Review,Schema,RDFS Schema Reasoning
SPARQL Query Practice Score,EvaluationResult,Learner Blair,Score percent 82 for SPARQL query practice,Learning Platform,PointInTime,2026-01-19T13:22:00Z,ISO 8601 UTC,,,,2026-01-19T13:22:00Z,,SPARQL Awareness After Practice,Query,SPARQL Query Construction
OWL Modeling Review Rubric Result,EvaluationResult,Learner Casey,Rubric level 2 for OWL modeling review,Instructor Reviewer,PointInTime,2026-01-20T16:40:00Z,ISO 8601 UTC,,,,2026-01-20T16:40:00Z,,OWL Modeling Awareness After Review,OWL,OWL Axiom Analysis
RDF RDFS Reassessment Score,EvaluationResult,Learner Casey,Score percent 91 for RDF and RDFS reassessment,Learning Platform,PointInTime,2026-01-21T10:35:00Z,ISO 8601 UTC,,,,2026-01-21T10:35:00Z,,RDF RDFS Mastery Awareness,Schema,RDF RDFS Mastery Demonstration
Learner Ontology Explanation,Response,Learner Alex,An ontology defines the concepts and relationships for a domain so data can be interpreted consistently,Learner Alex,TimeInterval,,,2026-01-16T14:00:00Z,ISO 8601 UTC,2026-01-16T14:25:00Z,2026-01-16T14:00:00Z to 2026-01-16T14:25:00Z,ISO 8601 UTC,Ontology Awareness After Review,Ontology,Ontology Concept Explanation
Learner SPARQL Query Attempt,Response,Learner Blair,SELECT ?s WHERE { ?s a ?type },Learner Blair,TimeInterval,,,2026-01-19T13:00:00Z,ISO 8601 UTC,2026-01-19T13:20:00Z,2026-01-19T13:00:00Z to 2026-01-19T13:20:00Z,ISO 8601 UTC,SPARQL Awareness After Practice,Query,SPARQL Query Construction
Metadata Vocabulary Recall Hint,Response,Learner Ethan,"Metadata Vocabulary Recall: mark the evidence first, then revise the answer using the Metadata evidence from Metadata Example Sort.",Adaptive Tutor,PointInTime,2026-02-01T14:00:00Z,ISO 8601 UTC,,,,2026-02-01T14:00:00Z,,Metadata Example Sortpoint,Metadata,Metadata Vocabulary Recall
Metadata Vocabulary Recall Correction Note,LearningFeedback,Learner Ethan,Metadata Vocabulary Recall: correct the missing cue around Metadata before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-01T14:00:00Z,ISO 8601 UTC,,,,2026-02-01T14:00:00Z,,Metadata Example Sortpoint,Metadata,Metadata Vocabulary Recall
Metadata Example Sort Score Record,EvaluationResult,Learner Ethan,Metadata Example Sort recorded outcome: 64 Score Percent for Metadata Vocabulary Recall.,Learning Platform,PointInTime,2026-02-01T14:00:00Z,ISO 8601 UTC,,,,2026-02-01T14:00:00Z,,Metadata Example Sortpoint,Metadata,Metadata Vocabulary Recall
Ontology Component Explanation Review Guidance,Response,Learner Debbie,Ontology Component Explanation: compare your draft with the worked case using the Ontology evidence from Ontology Component Walkthrough.,Adaptive Tutor,PointInTime,2026-02-02T14:07:00Z,ISO 8601 UTC,,,,2026-02-02T14:07:00Z,,Ontology Component Explanation Review,Ontology,Ontology Component Explanation
Ontology Component Explanation Revision Guidance,LearningFeedback,Learner Debbie,Ontology Component Explanation: separate the confused terms around Ontology before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-02T14:07:00Z,ISO 8601 UTC,,,,2026-02-02T14:07:00Z,,Ontology Component Explanation Review,Ontology,Ontology Component Explanation
Ontology Component Walkthrough Rubric Rating,EvaluationResult,Learner Debbie,Ontology Component Walkthrough checkpoint value: 71 Score Percent for Ontology Component Explanation.,Instructor Reviewer,PointInTime,2026-02-02T14:07:00Z,ISO 8601 UTC,,,,2026-02-02T14:07:00Z,,Ontology Component Explanation Review,Ontology,Ontology Component Explanation
Knowledge Graph Structure Explanation Next Step,Response,Learner Darwin,Knowledge Graph Structure Explanation: name the missing assumption before continuing using the Schema evidence from Knowledge Graph Structure Sketch.,Adaptive Tutor,PointInTime,2026-02-03T14:14:00Z,ISO 8601 UTC,,,,2026-02-03T14:14:00Z,,Knowledge Graph Structure Explanation Practice Update,Schema,Knowledge Graph Structure Explanation
Knowledge Graph Structure Explanation Coaching Note,LearningFeedback,Learner Darwin,Knowledge Graph Structure Explanation: make the decision rule explicit around Schema before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-03T14:14:00Z,ISO 8601 UTC,,,,2026-02-03T14:14:00Z,,Knowledge Graph Structure Explanation Practice Update,Schema,Knowledge Graph Structure Explanation
Knowledge Graph Structure Sketch Checkpoint Score,EvaluationResult,Learner Darwin,Knowledge Graph Structure Sketch assessment entry: 78 Score Percent for Knowledge Graph Structure Explanation.,Learning Platform,PointInTime,2026-02-03T14:14:00Z,ISO 8601 UTC,,,,2026-02-03T14:14:00Z,,Knowledge Graph Structure Explanation Practice Update,Schema,Knowledge Graph Structure Explanation
Identifier Pattern Recognition Practice Prompt,Response,Learner Carla,Identifier Pattern Recognition: write the relation or rule in plain language using the URI evidence from Identifier Pattern Sorting Task.,Adaptive Tutor,PointInTime,2026-02-04T14:21:00Z,ISO 8601 UTC,,,,2026-02-04T14:21:00Z,,Identifier Pattern Recognition Scenario Update,URI,Identifier Pattern Recognition
Identifier Pattern Recognition Practice Cue,LearningFeedback,Learner Carla,Identifier Pattern Recognition: add evidence for the modeling choice around URI before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-04T14:21:00Z,ISO 8601 UTC,,,,2026-02-04T14:21:00Z,,Identifier Pattern Recognition Scenario Update,URI,Identifier Pattern Recognition
Identifier Pattern Sorting Task Performance Note,EvaluationResult,Learner Carla,Identifier Pattern Sorting Task evidence update: 85 Score Percent for Identifier Pattern Recognition.,Learning Platform,PointInTime,2026-02-04T14:21:00Z,ISO 8601 UTC,,,,2026-02-04T14:21:00Z,,Identifier Pattern Recognition Scenario Update,URI,Identifier Pattern Recognition
Logic Operator Recognition Revision Cue,Response,Learner Darwin,Logic Operator Recognition: try the task again with one fewer hint using the Conjunction evidence from Logic Operator Mini Quiz.,Adaptive Tutor,PointInTime,2026-02-05T14:28:00Z,ISO 8601 UTC,,,,2026-02-05T14:28:00Z,,Logic Operator Recognition Task Evidence,Conjunction,Logic Operator Recognition
Logic Operator Recognition Review Comment,LearningFeedback,Learner Darwin,Logic Operator Recognition: extend the same reasoning around Conjunction before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-05T14:28:00Z,ISO 8601 UTC,,,,2026-02-05T14:28:00Z,,Logic Operator Recognition Task Evidence,Conjunction,Logic Operator Recognition
Logic Operator Mini Quiz Assessment Value,EvaluationResult,Learner Darwin,Logic Operator Mini Quiz scored artifact: 92 Score Percent for Logic Operator Recognition.,Learning Platform,PointInTime,2026-02-05T14:28:00Z,ISO 8601 UTC,,,,2026-02-05T14:28:00Z,,Logic Operator Recognition Task Evidence,Conjunction,Logic Operator Recognition
Propositional Statement Reasoning Tutor Note,Response,Learner Connie,Propositional Statement Reasoning: check whether the example supports the conclusion using the Conjunction evidence from Proposition Truth Table Task.,Adaptive Tutor,PointInTime,2026-02-06T14:00:00Z,ISO 8601 UTC,,,,2026-02-06T14:00:00Z,,Propositional Statement Reasoning Revision State,Conjunction,Propositional Statement Reasoning
Propositional Statement Reasoning Next Step Note,LearningFeedback,Learner Connie,Propositional Statement Reasoning: separate the confused terms around Conjunction before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-06T14:00:00Z,ISO 8601 UTC,,,,2026-02-06T14:00:00Z,,Propositional Statement Reasoning Revision State,Conjunction,Propositional Statement Reasoning
Proposition Truth Table Task Review Result,EvaluationResult,Learner Connie,Proposition Truth Table Task review summary: 66 Score Percent for Propositional Statement Reasoning.,Learning Platform,PointInTime,2026-02-06T14:00:00Z,ISO 8601 UTC,,,,2026-02-06T14:00:00Z,,Propositional Statement Reasoning Revision State,Conjunction,Propositional Statement Reasoning
Datalog Rule Tracepoint Advice,Response,Learner Courtney,Datalog Rule Interpretation: turn the feedback into a two-step revision using the Inference evidence from Datalog Rule Trace.,Adaptive Tutor,PointInTime,2026-02-07T14:07:00Z,ISO 8601 UTC,,,,2026-02-07T14:07:00Z,,Datalog Rule Interpretation Rubric Update,Inference,Datalog Rule Interpretation
Datalog Rule Interpretation Evidence Prompt,LearningFeedback,Learner Courtney,Datalog Rule Interpretation: make the decision rule explicit around Inference before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-07T14:07:00Z,ISO 8601 UTC,,,,2026-02-07T14:07:00Z,,Datalog Rule Interpretation Rubric Update,Inference,Datalog Rule Interpretation
Datalog Rule Trace Task Score,EvaluationResult,Learner Courtney,Datalog Rule Trace performance trace: 73 Score Percent for Datalog Rule Interpretation.,Learning Platform,PointInTime,2026-02-07T14:07:00Z,ISO 8601 UTC,,,,2026-02-07T14:07:00Z,,Datalog Rule Interpretation Rubric Update,Inference,Datalog Rule Interpretation
Predicate Logic Statement Interpretation Extension Prompt,Response,Learner Edward,Predicate Logic Statement Interpretation: use a contrasting example to test the claim using the Predicate evidence from Predicate Translation Task.,Adaptive Tutor,PointInTime,2026-02-08T14:14:00Z,ISO 8601 UTC,,,,2026-02-08T14:14:00Z,,Predicate Logic Statement Interpretation Application Snapshot,Predicate,Predicate Logic Statement Interpretation
Predicate Logic Statement Interpretation Extension Prompt,LearningFeedback,Learner Edward,Predicate Logic Statement Interpretation: use a contrasting example to test the claim using the Predicate evidence from Predicate Translation Task.,Learning Platform,PointInTime,2026-02-08T14:14:00Z,ISO 8601 UTC,,,,2026-02-08T14:14:00Z,,Predicate Logic Statement Interpretation Application Snapshot,Predicate,Predicate Logic Statement Interpretation
Predicate Translation Task Evidence Rating,EvaluationResult,Learner Edward,Predicate Translation Task rubric entry: 80 Score Percent for Predicate Logic Statement Interpretation.,Learning Platform,PointInTime,2026-02-08T14:14:00Z,ISO 8601 UTC,,,,2026-02-08T14:14:00Z,,Predicate Logic Statement Interpretation Application Snapshot,Predicate,Predicate Logic Statement Interpretation
Description Logic Constraint Reasoning Hint,Response,Learner Darwin,Description Logic Constraint Reasoning: add a short rationale for the chosen representation using the Expressivity evidence from Description Logic Constraint Review.,Adaptive Tutor,PointInTime,2026-02-09T14:21:00Z,ISO 8601 UTC,,,,2026-02-09T14:21:00Z,,Description Logic Constraint Reasoning Checkpoint,Expressivity,Description Logic Constraint Reasoning
Description Logic Constraint Reasoning Correction Note,LearningFeedback,Learner Darwin,Description Logic Constraint Reasoning: strengthen the justification around Expressivity before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-09T14:21:00Z,ISO 8601 UTC,,,,2026-02-09T14:21:00Z,,Description Logic Constraint Reasoning Checkpoint,Expressivity,Description Logic Constraint Reasoning
Description Logic Constraint Review Score Record,EvaluationResult,Learner Darwin,Description Logic Constraint Review recorded outcome: 4 Rubric Level for Description Logic Constraint Reasoning.,Instructor Reviewer,PointInTime,2026-02-09T14:21:00Z,ISO 8601 UTC,,,,2026-02-09T14:21:00Z,,Description Logic Constraint Reasoning Checkpoint,Expressivity,Description Logic Constraint Reasoning
Rule Based Inference Explanation Review Guidance,Response,Learner Chris,Rule Based Inference Explanation: separate terminology recall from model judgment using the Inference evidence from Rule Inference Trace.,Adaptive Tutor,PointInTime,2026-02-10T14:28:00Z,ISO 8601 UTC,,,,2026-02-10T14:28:00Z,,Rule Based Inference Explanation Review,Inference,Rule Based Inference Explanation
Rule Based Inference Explanation Revision Guidance,LearningFeedback,Learner Chris,Rule Based Inference Explanation: move to a less guided case around Inference before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-10T14:28:00Z,ISO 8601 UTC,,,,2026-02-10T14:28:00Z,,Rule Based Inference Explanation Review,Inference,Rule Based Inference Explanation
Rule Inference Trace Rubric Rating,EvaluationResult,Learner Chris,Rule Inference Trace checkpoint value: 94 Score Percent for Rule Based Inference Explanation.,Learning Platform,PointInTime,2026-02-10T14:28:00Z,ISO 8601 UTC,,,,2026-02-10T14:28:00Z,,Rule Based Inference Explanation Review,Inference,Rule Based Inference Explanation
Set Relationship Reasoning Next Step,Response,Learner Cameron,Set Relationship Reasoning: trace the decision from topic cue to final artifact using the Union evidence from Set Relationship Diagram Task.,Adaptive Tutor,PointInTime,2026-02-11T14:00:00Z,ISO 8601 UTC,,,,2026-02-11T14:00:00Z,,Set Relationship Reasoning Practice Update,Union,Set Relationship Reasoning
Set Relationship Reasoning Coaching Note,LearningFeedback,Learner Cameron,Set Relationship Reasoning: repair the unsupported step around Union before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-11T14:00:00Z,ISO 8601 UTC,,,,2026-02-11T14:00:00Z,,Set Relationship Reasoning Practice Update,Union,Set Relationship Reasoning
Set Relationship Diagram Task Checkpoint Score,EvaluationResult,Learner Cameron,Set Relationship Diagram Task assessment entry: 68 Score Percent for Set Relationship Reasoning.,Learning Platform,PointInTime,2026-02-11T14:00:00Z,ISO 8601 UTC,,,,2026-02-11T14:00:00Z,,Set Relationship Reasoning Practice Update,Union,Set Relationship Reasoning
Discrete Relation Property Recognition Practice Prompt,Response,Learner Oratius,Discrete Relation Property Recognition: summarize the result as a reviewer note using the Functionality evidence from Relation Property Classification.,Adaptive Tutor,PointInTime,2026-02-12T14:07:00Z,ISO 8601 UTC,,,,2026-02-12T14:07:00Z,,Discrete Relation Property Recognition Scenario Update,Functionality,Discrete Relation Property Recognition
Discrete Relation Property Recognition Practice Cue,LearningFeedback,Learner Oratius,Discrete Relation Property Recognition: add evidence for the modeling choice around Functionality before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-12T14:07:00Z,ISO 8601 UTC,,,,2026-02-12T14:07:00Z,,Discrete Relation Property Recognition Scenario Update,Functionality,Discrete Relation Property Recognition
Relation Property Classification Performance Note,EvaluationResult,Learner Oratius,Relation Property Classification evidence update: 75 Score Percent for Discrete Relation Property Recognition.,Instructor Reviewer,PointInTime,2026-02-12T14:07:00Z,ISO 8601 UTC,,,,2026-02-12T14:07:00Z,,Discrete Relation Property Recognition Scenario Update,Functionality,Discrete Relation Property Recognition
Open Closed World Assumption Comparison Revision Cue,Response,Learner Courtney,"Open Closed World Assumption Comparison: mark the evidence first, then revise the answer using the Inference evidence from Assumption Boundary Scenario.",Adaptive Tutor,PointInTime,2026-02-13T14:14:00Z,ISO 8601 UTC,,,,2026-02-13T14:14:00Z,,Open Closed World Assumption Comparison Task Evidence,Inference,Open Closed World Assumption Comparison
Open Closed World Assumption Comparison Review Comment,LearningFeedback,Learner Courtney,Open Closed World Assumption Comparison: strengthen the justification around Inference before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-13T14:14:00Z,ISO 8601 UTC,,,,2026-02-13T14:14:00Z,,Open Closed World Assumption Comparison Task Evidence,Inference,Open Closed World Assumption Comparison
Assumption Boundary Scenario Assessment Value,EvaluationResult,Learner Courtney,Assumption Boundary Scenario scored artifact: 82 Score Percent for Open Closed World Assumption Comparison.,Learning Platform,PointInTime,2026-02-13T14:14:00Z,ISO 8601 UTC,,,,2026-02-13T14:14:00Z,,Open Closed World Assumption Comparison Task Evidence,Inference,Open Closed World Assumption Comparison
RDF Graph Interpretation Tutor Note,Response,Learner Elias,RDF Graph Interpretation: compare your draft with the worked case using the Triple evidence from RDF Graph Annotation Task.,Adaptive Tutor,PointInTime,2026-02-14T14:21:00Z,ISO 8601 UTC,,,,2026-02-14T14:21:00Z,,RDF Graph Interpretation Revision State,Triple,RDF Graph Interpretation
RDF Graph Interpretation Next Step Note,LearningFeedback,Learner Elias,RDF Graph Interpretation: compare the nearby alternative around Triple before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-14T14:21:00Z,ISO 8601 UTC,,,,2026-02-14T14:21:00Z,,RDF Graph Interpretation Revision State,Triple,RDF Graph Interpretation
RDF Graph Annotation Task Review Result,EvaluationResult,Learner Elias,RDF Graph Annotation Task review summary: 89 Score Percent for RDF Graph Interpretation.,Learning Platform,PointInTime,2026-02-14T14:21:00Z,ISO 8601 UTC,,,,2026-02-14T14:21:00Z,,RDF Graph Interpretation Revision State,Triple,RDF Graph Interpretation
RDFS Vocabulary Inference Reviewpoint Advice,Response,Learner Ronnie,RDFS Vocabulary Reasoning: name the missing assumption before continuing using the Subclass evidence from RDFS Vocabulary Inference Review.,Adaptive Tutor,PointInTime,2026-02-15T14:28:00Z,ISO 8601 UTC,,,,2026-02-15T14:28:00Z,,RDFS Vocabulary Reasoning Rubric Update,Subclass,RDFS Vocabulary Reasoning
RDFS Vocabulary Reasoning Evidence Prompt,LearningFeedback,Learner Ronnie,RDFS Vocabulary Reasoning: explain the successful pattern around Subclass before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-15T14:28:00Z,ISO 8601 UTC,,,,2026-02-15T14:28:00Z,,RDFS Vocabulary Reasoning Rubric Update,Subclass,RDFS Vocabulary Reasoning
RDFS Vocabulary Inference Review Task Score,EvaluationResult,Learner Ronnie,RDFS Vocabulary Inference Review performance trace: 96 Score Percent for RDFS Vocabulary Reasoning.,Learning Platform,PointInTime,2026-02-15T14:28:00Z,ISO 8601 UTC,,,,2026-02-15T14:28:00Z,,RDFS Vocabulary Reasoning Rubric Update,Subclass,RDFS Vocabulary Reasoning
RDF Serialization Format Comparison Extension Prompt,Response,Learner Usman,RDF Serialization Format Comparison: write the relation or rule in plain language using the RDF/XML evidence from Serialization Format Comparison Brief.,Adaptive Tutor,PointInTime,2026-02-16T14:00:00Z,ISO 8601 UTC,,,,2026-02-16T14:00:00Z,,RDF Serialization Format Comparison Application Snapshot,RDF/XML,RDF Serialization Format Comparison
RDF Serialization Format Comparison Extension Prompt,LearningFeedback,Learner Usman,RDF Serialization Format Comparison: write the relation or rule in plain language using the RDF/XML evidence from Serialization Format Comparison Brief.,Learning Platform,PointInTime,2026-02-16T14:00:00Z,ISO 8601 UTC,,,,2026-02-16T14:00:00Z,,RDF Serialization Format Comparison Application Snapshot,RDF/XML,RDF Serialization Format Comparison
Serialization Format Comparison Brief Evidence Rating,EvaluationResult,Learner Usman,Serialization Format Comparison Brief rubric entry: 70 Score Percent for RDF Serialization Format Comparison.,Learning Platform,PointInTime,2026-02-16T14:00:00Z,ISO 8601 UTC,,,,2026-02-16T14:00:00Z,,RDF Serialization Format Comparison Application Snapshot,RDF/XML,RDF Serialization Format Comparison
RDF Star Statement Annotation Hint,Response,Learner Stella,RDF Star Statement Annotation: try the task again with one fewer hint using the Triple evidence from RDF Star Annotation Exercise.,Adaptive Tutor,PointInTime,2026-02-17T14:07:00Z,ISO 8601 UTC,,,,2026-02-17T14:07:00Z,,RDF Star Annotation Exercisepoint,Triple,RDF Star Statement Annotation
RDF Star Statement Annotation Correction Note,LearningFeedback,Learner Stella,RDF Star Statement Annotation: strengthen the justification around Triple before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-17T14:07:00Z,ISO 8601 UTC,,,,2026-02-17T14:07:00Z,,RDF Star Annotation Exercisepoint,Triple,RDF Star Statement Annotation
RDF Star Annotation Exercise Score Record,EvaluationResult,Learner Stella,RDF Star Annotation Exercise recorded outcome: 77 Score Percent for RDF Star Statement Annotation.,Learning Platform,PointInTime,2026-02-17T14:07:00Z,ISO 8601 UTC,,,,2026-02-17T14:07:00Z,,RDF Star Annotation Exercisepoint,Triple,RDF Star Statement Annotation
SPARQL Query Pattern Construction Review Guidance,Response,Learner Debbie,SPARQL Query Pattern Construction: check whether the example supports the conclusion using the Query evidence from SPARQL Query Repair Task.,Adaptive Tutor,PointInTime,2026-02-18T14:14:00Z,ISO 8601 UTC,,,,2026-02-18T14:14:00Z,,SPARQL Query Pattern Construction Review,Query,SPARQL Query Pattern Construction
SPARQL Query Pattern Construction Revision Guidance,LearningFeedback,Learner Debbie,SPARQL Query Pattern Construction: compare the nearby alternative around Query before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-18T14:14:00Z,ISO 8601 UTC,,,,2026-02-18T14:14:00Z,,SPARQL Query Pattern Construction Review,Query,SPARQL Query Pattern Construction
SPARQL Query Repair Task Rubric Rating,EvaluationResult,Learner Debbie,SPARQL Query Repair Task checkpoint value: 84 Score Percent for SPARQL Query Pattern Construction.,Learning Platform,PointInTime,2026-02-18T14:14:00Z,ISO 8601 UTC,,,,2026-02-18T14:14:00Z,,SPARQL Query Pattern Construction Review,Query,SPARQL Query Pattern Construction
SWRL Rule Inference Explanation Next Step,Response,Learner Silas,SWRL Rule Inference Explanation: turn the feedback into a two-step revision using the OWL evidence from SWRL Inference Review.,Adaptive Tutor,PointInTime,2026-02-19T14:21:00Z,ISO 8601 UTC,,,,2026-02-19T14:21:00Z,,SWRL Rule Inference Explanation Practice Update,OWL,SWRL Rule Inference Explanation
SWRL Rule Inference Explanation Coaching Note,LearningFeedback,Learner Silas,SWRL Rule Inference Explanation: explain the successful pattern around OWL before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-19T14:21:00Z,ISO 8601 UTC,,,,2026-02-19T14:21:00Z,,SWRL Rule Inference Explanation Practice Update,OWL,SWRL Rule Inference Explanation
SWRL Inference Review Checkpoint Score,EvaluationResult,Learner Silas,SWRL Inference Review assessment entry: 91 Score Percent for SWRL Rule Inference Explanation.,Instructor Reviewer,PointInTime,2026-02-19T14:21:00Z,ISO 8601 UTC,,,,2026-02-19T14:21:00Z,,SWRL Rule Inference Explanation Practice Update,OWL,SWRL Rule Inference Explanation
OWL Modeling Constraint Analysis Practice Prompt,Response,Learner Kai,OWL Modeling Constraint Analysis: use a contrasting example to test the claim using the OWL evidence from OWL Constraint Modeling Review.,Adaptive Tutor,PointInTime,2026-02-20T14:28:00Z,ISO 8601 UTC,,,,2026-02-20T14:28:00Z,,OWL Modeling Constraint Analysis Scenario Update,OWL,OWL Modeling Constraint Analysis
OWL Modeling Constraint Analysis Practice Cue,LearningFeedback,Learner Kai,OWL Modeling Constraint Analysis: recheck the example boundary around OWL before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-20T14:28:00Z,ISO 8601 UTC,,,,2026-02-20T14:28:00Z,,OWL Modeling Constraint Analysis Scenario Update,OWL,OWL Modeling Constraint Analysis
