Evaluation Assessment Exercise Context,Evaluation Assessment Exercise,Evaluates Topic Awareness Of,Workload Level,Uses Evaluation Techniques
Introduction to Set Theory,Set Relationship Diagram Task,Union | Disjunction | Disjointness | Intersection,Low Workload,Auto Scored Concept Check
Introduction to Discrete Mathematics,Relation Property Classification,Functionality | Reflexivity | Transitivity | Inverse,Moderate Workload,Short Explanation Rubric
Open World Assumption vs Closed World Assumption,Assumption Boundary Scenario,Inference,Low Workload,Auto Scored Concept Check
RDF,RDF Graph Annotation Task,Triple | Subject | Object | Predicate,Low Workload,Auto Scored Concept Check
RDFS,RDFS Vocabulary Inference Review,Subclass | Subproperty | Domain Restrictions | Range Restrictions,Low Workload,Auto Scored Concept Check
RDF Serializations,Serialization Format Comparison Brief,RDF/XML | JSON-LD | Turtle,Low Workload,Auto Scored Concept Check
RDF Star,RDF Star Annotation Exercise,Triple | Statement,Low Workload,Auto Scored Concept Check
SPARQL,SPARQL Query Repair Task,Query | Select | Update | Delete,Low Workload,Auto Scored Concept Check
SWRL,SWRL Inference Review,OWL | Inference,Moderate Workload,Short Explanation Rubric
OWL,OWL Constraint Modeling Review,OWL | OWL2 | Datatypes | Data Properties,Moderate Workload,Short Explanation Rubric
OWL Dialects,OWL Dialect Selection Brief,Expressivity | OWL EL | OWL QL | OWL RL,Moderate Workload,Short Explanation Rubric
Manchester Syntax,Manchester Axiom Translation,Axiom,Moderate Workload,Short Explanation Rubric
SHACL,SHACL Shape Validation Task,Schema,Moderate Workload,Short Explanation Rubric
Schema.org,Schema.org Alignment Exercise,rangeIncludes | domainIncludes,Low Workload,Auto Scored Concept Check
Dublin Core,Dublin Core Metadata Mapping Task,Metadata,Low Workload,Auto Scored Concept Check
SOSA & SSN,Observation Modeling Scenario,Ontology,Moderate Workload,Short Explanation Rubric
PROV-O,Provenance Chain Modeling Task,Provenance | Lineage,Moderate Workload,Short Explanation Rubric
SKOS,Concept Scheme Modeling Task,Taxonomy,Moderate Workload,Short Explanation Rubric
Survey of Modeling Tools,Modeling Tool Selection Matrix,Protege | TopBraid Composer | PoolParty | DataWorld,Moderate Workload,Short Explanation Rubric
Protege,Protege Editing Lab,Ontology,Moderate Workload,Short Explanation Rubric
Deploying a Knowledge Graph,KG Deployment Readiness Review,Knowledge Graph,Moderate Workload,Short Explanation Rubric
Introduction to Knowledge Engineering,Knowledge Engineering Workflow Plan,Knowledge Graph,Moderate Workload,Short Explanation Rubric
Reification,Reification Modeling Scenario,N-ary Relations | Blank Nodes,Moderate Workload,Short Explanation Rubric
GraphQL,GraphQL Mapping Exercise,Query,Moderate Workload,Short Explanation Rubric
Survey of Documentation Practices,Documentation Coverage Review,Metadata,Moderate Workload,Short Explanation Rubric
Survey of Visualization Tools,Visualization Tool Selection Brief,Knowledge Graph,Moderate Workload,Short Explanation Rubric
Introduction to Upper Ontologies,Upper Ontology Alignment Review,Ontology,High Workload,Ontology Modeling Review
Introduction to Modular Ontologies,Modular Ontology Boundary Review,Ontology,High Workload,Ontology Modeling Review
Survey of Triplestores,Triplestore Selection Matrix,Query,Moderate Workload,Short Explanation Rubric
History of the Semantic Web,Semantic Web Timeline Explanation,Ontology | Semantic Web | Taxonomy | Linked Data,Low Workload,Auto Scored Concept Check
Property Graphs,Property Graph Comparison Brief,Graph,Moderate Workload,Short Explanation Rubric
Nanopublications,Nanopublication Claim Card,Provenance,Moderate Workload,Short Explanation Rubric
Survey of Reasoners,Reasoner Capability Matrix,Complexity | Inference,Moderate Workload,Short Explanation Rubric
Entailment Regimes,Entailment Regime Selection Scenario,Inference,Moderate Workload,Short Explanation Rubric
RDF Plus,RDF Plus Property Reasoning Drill,Property,Moderate Workload,Short Explanation Rubric
Open Graph Protocol,Open Graph Metadata Audit,Metadata,Low Workload,Auto Scored Concept Check
